湖北 武汉 114.298572，30.584355
湖南 长沙 112.982279，28.19409
甘肃 兰州 103.823557，36.058039
河北 石家庄 114.502461，38.045474
天津 天津 117.190182，39.125596
陕西 西安 108.948024，34.263161
河南 郑州 113.665412，34.757975
上海 上海 121.472644，31.231706
福建 福州 119.306239，26.075302
浙江 杭州 120.153576，30.287459
山东 济南 117.000923，36.675807
江西 南昌 115.892151，28.676493
山西 太原 112.549248，37.857014
宁夏 银川 106.278179，38.46637
贵州 贵阳 106.713478，26.578343
海南 海口 110.33119，20.031971
安徽 合肥 117.283042，31.86119
青海 西宁 101.778916，36.623178
江苏 南京 118.767413，32.041544
广东 广州 113.280637，23.125178
广西 南宁 108.320004，22.82402
云南 昆明 102.712251，25.040609
四川 成都 104.065735，30.659462
重庆 重庆 106.504962，29.533155
西藏 拉萨 91.132212，29.660361
新疆 乌鲁木齐 87.617733，43.792818
内蒙古 呼和浩特 111.670801，40.818311
吉林 长春 125.3245，43.886841
辽宁 沈阳 123.429096，41.796767
黑龙江 哈尔滨 126.642464，45.756967
北京 北京 116.405285，39.904989
